Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Fatal.Serious,Total.People,Critical.Injury.Rate,Plane.Destroyed,Aircraft.Type
2022-06-28,Minor,Substantial,Cessna,120,1.0,,Personal,0.0,1.0,0.0,1.0,VMC,1.0,2.0,0.5,False,Cessna 120
2022-06-29,Minor,Substantial,Piper,PA-32RT-300,1.0,,Personal,0.0,1.0,0.0,1.0,VMC,1.0,2.0,0.5,False,Piper PA-32RT-300
2022-06-30,Non-Fatal,Substantial,American Champion Aircraft,8KCAB,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,American Champion Aircraft 8KCAB
2022-07-01,Non-Fatal,Substantial,Piper,PA-18-135,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-135
2022-07-01,Minor,Substantial,Cessna,150E,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Cessna 150E
2022-07-02,Fatal,Substantial,Piper,PA-24-250,1.0,,Personal,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Piper PA-24-250
2022-07-02,Fatal,Substantial,Piper,PA-28-140,1.0,,Personal,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Piper PA-28-140
2022-07-02,Serious,,Boeing,737-700,2.0,Turbo Fan,,0.0,0.0,1.0,141.0,VMC,0.0,142.0,0.0,False,Boeing 737-700
2022-07-04,Fatal,Destroyed,Piper,PA-32-300,1.0,,Personal,1.0,0.0,3.0,0.0,VMC,1.0,4.0,0.25,True,Piper PA-32-300
2022-07-04,Serious,Substantial,Cessna,172M,1.0,,Personal,0.0,0.0,2.0,0.0,VMC,0.0,2.0,0.0,False,Cessna 172M
2022-07-05,Non-Fatal,Substantial,Beech,95-B55 (T42A),2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Beech 95-B55 (T42A)
2022-07-06,Non-Fatal,Substantial,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-150
2022-07-06,Non-Fatal,Substantial,Piper,PA-32R-301T,1.0,,,0.0,0.0,0.0,5.0,,0.0,5.0,0.0,False,Piper PA-32R-301T
2022-07-07,Minor,Substantial,Cessna,172B,1.0,,Instructional,0.0,1.0,0.0,1.0,VMC,1.0,2.0,0.5,False,Cessna 172B
2022-07-07,Non-Fatal,Substantial,Cessna,T210R,1.0,,Other Work Use,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,Cessna T210R
2022-07-08,Non-Fatal,Substantial,Cessna,172M,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 172M
2022-07-08,Serious,Substantial,Cessna,172M,1.0,Unk,Instructional,0.0,0.0,2.0,0.0,VMC,0.0,2.0,0.0,False,Cessna 172M
2022-07-08,Non-Fatal,Substantial,Cessna,172P,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Cessna 172P
2022-07-09,Non-Fatal,Substantial,Piper,PA-18-150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-150
2022-07-12,Fatal,Substantial,Piper,PA-31-325,2.0,,,2.0,0.0,0.0,0.0,,2.0,2.0,1.0,False,Piper PA-31-325
2022-07-14,Non-Fatal,Substantial,Cessna,182P,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 182P
2022-07-14,Fatal,Destroyed,Cessna,P210N,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Cessna P210N
2022-07-14,Non-Fatal,Substantial,Cessna,210,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,Cessna 210
2022-07-15,Fatal,Destroyed,Cessna,210C,1.0,,Personal,2.0,0.0,0.0,0.0,IMC,2.0,2.0,1.0,True,Cessna 210C
2022-07-15,Non-Fatal,Substantial,De Havilland,BEAVER DHC-2 MK.1,1.0,,Business,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,De Havilland BEAVER DHC-2 MK.1
2022-07-15,Non-Fatal,Substantial,Piper,PA-18-150,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-150
2022-07-15,Non-Fatal,Substantial,Raytheon Aircraft Company,400A,2.0,Turbo Fan,Business,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Raytheon Aircraft Company 400A
2022-07-16,Minor,Substantial,Cessna,421B,2.0,,Unknown,0.0,1.0,0.0,4.0,VMC,1.0,5.0,0.2,False,Cessna 421B
2022-07-17,Fatal,Destroyed,Cessna,T337G,2.0,,Aerial Observation,4.0,0.0,0.0,0.0,VMC,4.0,4.0,1.0,True,Cessna T337G
2022-07-17,Fatal,Destroyed,Piper,PA 46-350P,1.0,,Personal,4.0,0.0,0.0,0.0,VMC,4.0,4.0,1.0,True,Piper PA 46-350P
2022-07-17,Fatal,Destroyed,Cessna,172N,1.0,,Instructional,4.0,0.0,0.0,0.0,VMC,4.0,4.0,1.0,True,Cessna 172N
2022-07-17,Minor,Substantial,Socata,TB21,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Socata TB21
2022-07-19,Non-Fatal,Substantial,Cessna,172M,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 172M
2022-07-20,Non-Fatal,Substantial,Champion,7KCAB,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Champion 7KCAB
2022-07-21,Minor,Substantial,Aeronca,7AC,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Aeronca 7AC
2022-07-21,Non-Fatal,Substantial,Beech,E33A,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Beech E33A
2022-07-22,Fatal,Destroyed,Piper,PA-28-235,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Piper PA-28-235
2022-07-22,Non-Fatal,Substantial,Cessna,180J,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 180J
2022-07-22,Non-Fatal,Substantial,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-28-181
2022-07-23,Fatal,Substantial,Beech,A35,1.0,,Personal,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Beech A35
2022-07-23,Fatal,Substantial,North American,T-28B,1.0,,Personal,1.0,1.0,0.0,0.0,VMC,2.0,2.0,1.0,False,North American T-28B
2022-07-23,Non-Fatal,Substantial,Stinson,108,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Stinson 108
2022-07-23,Fatal,Substantial,Cessna,T210L,1.0,,Personal,1.0,0.0,1.0,0.0,,1.0,2.0,0.5,False,Cessna T210L
2022-07-24,Serious,Substantial,Beech,A36,1.0,,Personal,0.0,0.0,3.0,0.0,VMC,0.0,3.0,0.0,False,Beech A36
2022-07-24,Non-Fatal,Substantial,Cessna,T310R,2.0,,Personal,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Cessna T310R
2022-07-25,Non-Fatal,,Airbus,A320-214,2.0,,,0.0,0.0,0.0,178.0,,0.0,178.0,0.0,False,Airbus A320-214
2022-07-26,Fatal,Destroyed,Air Tractor,AT-802A,1.0,,Aerial Application,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,True,Air Tractor AT-802A
2022-07-26,Fatal,Substantial,Air Tractor,AT-802,1.0,,Aerial Application,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Air Tractor AT-802
2022-07-26,Serious,Substantial,De Havilland,DHC2,1.0,Reciprocating,Aerial Observation,0.0,4.0,2.0,1.0,VMC,4.0,7.0,0.5714285714285714,False,De Havilland DHC2
2022-07-27,Serious,,Bombardier,BD-100-1A10,2.0,,Positioning,0.0,0.0,1.0,2.0,VMC,0.0,3.0,0.0,False,Bombardier BD-100-1A10
2022-07-27,Non-Fatal,Substantial,Cessna,172K,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 172K
2022-07-27,Non-Fatal,Substantial,Mooney,M20C,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Mooney M20C
2022-07-27,Non-Fatal,Substantial,Beech,C23,1.0,,Instructional,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Beech C23
2022-07-28,Non-Fatal,Substantial,Piper,PA-18-150,1.0,Reciprocating,Pubs,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-150
2022-07-28,Non-Fatal,Minor,Cessna,207,1.0,,,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Cessna 207
2022-07-28,Non-Fatal,Substantial,De Havilland,DHC-3,1.0,Turbo Prop,,0.0,0.0,0.0,9.0,VMC,0.0,9.0,0.0,False,De Havilland DHC-3
2022-07-29,Non-Fatal,Substantial,Cessna,170B,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Cessna 170B
2022-07-30,Non-Fatal,Substantial,Stinson,108-1,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Stinson 108-1
2022-07-30,Minor,Substantial,Cessna,172N,1.0,,Instructional,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Cessna 172N
2022-08-01,Non-Fatal,Substantial,Beech,35,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Beech 35
2022-08-02,Non-Fatal,Substantial,Piper,PA31,2.0,,,0.0,0.0,0.0,8.0,,0.0,8.0,0.0,False,Piper PA31
2022-08-03,Fatal,Substantial,Piper,J3C-65,1.0,,Personal,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Piper J3C-65
2022-08-03,Minor,Substantial,Aeronca,7BCM,1.0,,Personal,0.0,1.0,0.0,1.0,VMC,1.0,2.0,0.5,False,Aeronca 7BCM
2022-08-03,Non-Fatal,Substantial,De Havilland,BEAVER U-6A,1.0,,Other Work Use,0.0,0.0,0.0,7.0,VMC,0.0,7.0,0.0,False,De Havilland BEAVER U-6A
2022-08-04,Non-Fatal,Substantial,Cessna,180C,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Cessna 180C
2022-08-05,Non-Fatal,Substantial,Cessna,182Q,1.0,,Personal,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Cessna 182Q
2022-08-05,Non-Fatal,Substantial,Piper,PA-28-160,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-28-160
2022-08-05,Non-Fatal,Substantial,Cessna,182B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 182B
2022-08-07,Minor,Substantial,Cessna,150H,1.0,,Personal,0.0,1.0,0.0,1.0,VMC,1.0,2.0,0.5,False,Cessna 150H
2022-08-07,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 172
2022-08-09,Non-Fatal,Substantial,Piper,PA-32-300,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-32-300
2022-08-10,Non-Fatal,Substantial,Piper,PA-28-140,1.0,,Personal,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Piper PA-28-140
2022-08-11,Minor,Substantial,Piper,PA-28-140,1.0,,Personal,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Piper PA-28-140
2022-08-11,Fatal,Substantial,Piper,PA32,1.0,,Personal,3.0,0.0,0.0,0.0,IMC,3.0,3.0,1.0,False,Piper PA32
2022-08-12,Serious,Substantial,Cessna,172,1.0,,Instructional,0.0,0.0,2.0,0.0,VMC,0.0,2.0,0.0,False,Cessna 172
2022-08-12,Non-Fatal,Substantial,Piper,PA-28-140,1.0,,Personal,0.0,0.0,0.0,4.0,VMC,0.0,4.0,0.0,False,Piper PA-28-140
2022-08-13,Fatal,Substantial,Mooney,M20K,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Mooney M20K
